Team,P1 Players,P2 Players,P3 Players,Weight
Oregon,2,1,2,15,15,15
Oregon State,0,1,1,4,4,4
Penn State,0,1,0,3,3,3
Pittsburgh,0,0,1,1,1,1
Presbyterian,0,0,1,1,1,1
Princeton,0,1,0,3,3,3
Providence,0,0,4,4,4,4
Purdue,1,1,3,11,11,11
Rhode Island,0,1,1,4,4,4
Richmond,0,0,3,3,3,3
Robert Morris (PA),0,0,1,1,1,1
Rutgers,1,1,1,9,9,9
San Diego State,0,0,3,3,3,3
San Francisco,0,0,1,1,1,1
Seton Hall,0,0,5,5,5,5
South Alabama,0,1,0,3,3,3
South Carolina,0,0,3,3,3,3
South Florida,0,0,1,1,1,1
Southern Methodist,0,0,2,2,2,2
Southern Mississippi,0,0,1,1,1,1
St. Bonaventure,0,2,1,7,7,7
St. Johns (NY),0,1,2,5,5,5
St. Louis,0,1,0,3,3,3
Stanford,1,1,1,9,9,9
Stony Brook,0,0,1,1,1,1
Syracuse,1,0,2,7,7,7
TCU,0,2,3,9,9,9
Tennessee,4,0,2,22,22,22
Texas,1,2,3,14,14,14
Texas A&M,0,0,2,2,2,2
Texas Tech,1,0,3,8,8,8
Toledo,0,0,1,1,1,1
UAB,0,0,2,2,2,2
UC Santa Barbara,0,0,1,1,1,1
UCF,0,1,1,4,4,4
UCLA,2,1,4,17,17,17
UNC Greensboro,0,0,1,1,1,1
UNC Wilmington,0,1,0,3,3,3
UNLV,0,2,0,6,6,6
USC,1,2,1,12,12,12
UTEP,0,0,1,1,1,1
UW Milwaukee,1,0,0,5,5,5
Umass,0,0,1,1,1,1
Utah,0,1,3,6,6,6
VCU,0,0,1,1,1,1
Vanderbilt,0,0,2,2,2,2
Villanova,1,3,3,17,17,17
Virginia,0,1,2,5,5,5
Virginia Tech,0,0,2,2,2,2
Wake Forest,0,1,1,4,4,4
Washington,1,0,2,7,7,7
Washington State,1,1,1,9,9,9
West Virginia,0,0,2,2,2,2
Western Kentucky,0,0,2,2,2,2
Wichita State,0,0,2,2,2,2
Winthrop,0,0,1,1,1,1
Wisconsin,0,0,1,1,1,1
Xavier (OH),0,0,2,2,2,2
Yale,0,0,1,1,1,1
